server time,value,UM,board time,latitude,longitude
2022-06-29 11:51:38.380,77,,2022-06-29 11:51:38.333,,
2022-06-29 11:52:40.410,76,,2022-06-29 11:52:40.337,,
2022-06-29 11:53:42.247,75,,2022-06-29 11:53:42.190,,
2022-06-29 11:54:44.140,74,,2022-06-29 11:54:44.083,,
2022-06-29 11:55:46.217,73,,2022-06-29 11:55:45.927,,
2022-06-29 11:56:47.770,72,,2022-06-29 11:56:47.707,,
2022-06-29 11:57:49.687,71,,2022-06-29 11:57:49.637,,
2022-06-29 11:58:52.157,70,,2022-06-29 11:58:52.090,,
2022-06-29 11:59:53.897,69,,2022-06-29 11:59:53.837,,
2022-06-29 12:00:56.257,68,,2022-06-29 12:00:56.190,,
2022-06-29 12:01:58.387,68,,2022-06-29 12:01:58.343,,
2022-06-29 12:03:01.327,67,,2022-06-29 12:03:01.277,,
2022-06-29 12:04:05.227,66,,2022-06-29 12:04:05.163,,
2022-06-29 12:05:08.887,66,,2022-06-29 12:05:08.807,,
2022-06-29 12:06:13.400,65,,2022-06-29 12:06:13.333,,
2022-06-29 12:07:17.847,64,,2022-06-29 12:07:17.033,,
2022-06-29 12:08:21.523,64,,2022-06-29 12:08:21.473,,
2022-06-29 12:09:23.917,63,,2022-06-29 12:09:23.863,,
2022-06-29 12:10:25.707,62,,2022-06-29 12:10:25.630,,
2022-06-29 12:11:27.433,62,,2022-06-29 12:11:27.367,,
2022-06-29 12:12:29.960,61,,2022-06-29 12:12:29.037,,
2022-06-29 12:13:31.597,61,,2022-06-29 12:13:31.523,,
2022-06-29 12:14:33.990,60,,2022-06-29 12:14:33.913,,
2022-06-29 12:15:36.373,60,,2022-06-29 12:15:36.307,,
2022-06-29 12:16:40.537,59,,2022-06-29 12:16:40.493,,
2022-06-29 12:17:42.577,59,,2022-06-29 12:17:42.507,,
2022-06-29 12:18:44.617,58,,2022-06-29 12:18:44.537,,
2022-06-29 12:19:46.637,58,,2022-06-29 12:19:46.553,,
2022-06-29 12:20:48.313,58,,2022-06-29 12:20:48.240,,
2022-06-29 12:21:50.233,57,,2022-06-29 12:21:50.180,,
2022-06-29 12:22:52.967,57,,2022-06-29 12:22:52.030,,
2022-06-29 12:23:53.937,56,,2022-06-29 12:23:53.867,,
2022-06-29 12:24:56.120,56,,2022-06-29 12:24:56.080,,
2022-06-29 12:25:58.610,56,,2022-06-29 12:25:57.993,,
2022-06-29 12:26:59.860,55,,2022-06-29 12:26:59.783,,
