server time,value,UM,board time,latitude,longitude
2022-06-29 11:51:38.380,0,,2022-06-29 11:51:38.333,,
2022-06-29 11:52:40.410,0,,2022-06-29 11:52:40.337,,
2022-06-29 11:53:42.247,0,,2022-06-29 11:53:42.190,,
2022-06-29 11:54:44.140,0,,2022-06-29 11:54:44.083,,
2022-06-29 11:55:46.217,0,,2022-06-29 11:55:45.927,,
2022-06-29 11:56:47.770,0,,2022-06-29 11:56:47.707,,
2022-06-29 11:57:49.687,0,,2022-06-29 11:57:49.637,,
2022-06-29 11:58:52.157,0,,2022-06-29 11:58:52.090,,
2022-06-29 11:59:53.897,0,,2022-06-29 11:59:53.837,,
2022-06-29 12:00:56.257,0,,2022-06-29 12:00:56.190,,
2022-06-29 12:01:58.387,0,,2022-06-29 12:01:58.343,,
2022-06-29 12:03:01.327,0,,2022-06-29 12:03:01.277,,
2022-06-29 12:04:05.227,0,,2022-06-29 12:04:05.163,,
2022-06-29 12:05:08.887,0,,2022-06-29 12:05:08.807,,
2022-06-29 12:06:13.400,0,,2022-06-29 12:06:13.333,,
2022-06-29 12:07:17.847,0,,2022-06-29 12:07:17.033,,
2022-06-29 12:08:21.523,0,,2022-06-29 12:08:21.473,,
2022-06-29 12:09:23.917,0,,2022-06-29 12:09:23.863,,
2022-06-29 12:10:25.707,0,,2022-06-29 12:10:25.630,,
2022-06-29 12:11:27.433,0,,2022-06-29 12:11:27.367,,
2022-06-29 12:12:29.960,0,,2022-06-29 12:12:29.037,,
2022-06-29 12:13:31.597,0,,2022-06-29 12:13:31.523,,
2022-06-29 12:14:33.990,0,,2022-06-29 12:14:33.913,,
2022-06-29 12:15:36.373,0,,2022-06-29 12:15:36.307,,
2022-06-29 12:16:40.537,0,,2022-06-29 12:16:40.493,,
2022-06-29 12:17:42.577,0,,2022-06-29 12:17:42.507,,
2022-06-29 12:18:44.617,0,,2022-06-29 12:18:44.537,,
2022-06-29 12:19:46.637,0,,2022-06-29 12:19:46.553,,
2022-06-29 12:20:48.313,0,,2022-06-29 12:20:48.240,,
2022-06-29 12:21:50.233,0,,2022-06-29 12:21:50.180,,
2022-06-29 12:22:52.967,0,,2022-06-29 12:22:52.030,,
2022-06-29 12:23:53.937,0,,2022-06-29 12:23:53.867,,
2022-06-29 12:24:56.120,0,,2022-06-29 12:24:56.080,,
2022-06-29 12:25:58.610,0,,2022-06-29 12:25:57.993,,
2022-06-29 12:26:59.860,0,,2022-06-29 12:26:59.783,,
2022-06-29 12:28:01.887,0,,2022-06-29 12:28:01.820,,
2022-06-29 12:29:03.790,0,,2022-06-29 12:29:03.737,,
2022-06-29 12:30:06.257,0,,2022-06-29 12:30:06.207,,
2022-06-29 12:31:09.123,0,,2022-06-29 12:31:09.067,,
2022-06-29 12:32:11.797,0,,2022-06-29 12:32:11.757,,
2022-06-29 12:33:13.713,0,,2022-06-29 12:33:13.640,,
2022-06-29 12:34:15.440,0,,2022-06-29 12:34:15.400,,
2022-06-29 12:35:17.833,0,,2022-06-29 12:35:17.773,,
2022-06-29 12:36:20.320,0,,2022-06-29 12:36:20.253,,
2022-06-29 12:37:22.520,0,,2022-06-29 12:37:22.453,,
2022-06-29 12:38:24.323,0,,2022-06-29 12:38:24.250,,
2022-06-29 12:39:26.807,0,,2022-06-29 12:39:26.017,,
2022-06-29 12:40:27.923,0,,2022-06-29 12:40:27.877,,
2022-06-29 12:41:31.237,0,,2022-06-29 12:41:31.127,,
2022-06-29 12:42:33.113,0,,2022-06-29 12:42:33.030,,
2022-06-29 12:43:34.863,0,,2022-06-29 12:43:34.813,,
2022-06-29 12:44:36.860,0,,2022-06-29 12:44:36.733,,
2022-06-29 12:45:38.793,0,,2022-06-29 12:45:38.717,,
2022-06-29 12:46:40.720,0,,2022-06-29 12:46:40.673,,
2022-06-29 12:47:42.410,0,,2022-06-29 12:47:42.360,,
2022-06-29 12:48:44.167,0,,2022-06-29 12:48:44.110,,
2022-06-29 12:49:45.990,0,,2022-06-29 12:49:45.893,,
2022-06-29 12:50:47.787,0,,2022-06-29 12:50:47.720,,
2022-06-29 12:51:49.570,0,,2022-06-29 12:51:49.520,,
2022-06-29 12:52:51.270,0,,2022-06-29 12:52:51.207,,
2022-06-29 12:53:53.120,0,,2022-06-29 12:53:53.070,,
2022-06-29 12:54:54.807,0,,2022-06-29 12:54:54.757,,
2022-06-29 12:55:56.580,0,,2022-06-29 12:55:56.523,,
2022-06-29 12:56:58.750,0,,2022-06-29 12:56:58.680,,
2022-06-29 12:58:00.540,0,,2022-06-29 12:58:00.487,,
2022-06-29 12:59:02.323,0,,2022-06-29 12:59:02.270,,
2022-06-29 13:00:04.903,0,,2022-06-29 13:00:04.833,,
2022-06-29 13:01:06.993,0,,2022-06-29 13:01:06.927,,
2022-06-29 13:02:08.860,0,,2022-06-29 13:02:08.803,,
2022-06-29 13:03:10.663,0,,2022-06-29 13:03:10.600,,
2022-06-29 13:04:13.340,0,,2022-06-29 13:04:13.287,,
2022-06-29 13:05:15.753,0,,2022-06-29 13:05:15.697,,
2022-06-29 13:06:19.877,0,,2022-06-29 13:06:17.973,,
2022-06-29 13:07:23.357,0,,2022-06-29 13:07:23.303,,
2022-06-29 13:08:25.837,0,,2022-06-29 13:08:25.773,,
2022-06-29 13:09:27.663,0,,2022-06-29 13:09:27.553,,
2022-06-29 13:10:29.393,0,,2022-06-29 13:10:29.333,,
2022-06-29 13:11:31.490,0,,2022-06-29 13:11:31.430,,
2022-06-29 13:12:33.283,0,,2022-06-29 13:12:33.227,,
2022-06-29 13:13:35.590,0,,2022-06-29 13:13:35.527,,
2022-06-29 13:14:38.347,0,,2022-06-29 13:14:38.290,,
2022-06-29 13:15:40.543,0,,2022-06-29 13:15:40.477,,
2022-06-29 13:16:42.333,0,,2022-06-29 13:16:42.277,,
2022-06-29 13:17:44.407,0,,2022-06-29 13:17:43.993,,
2022-06-29 13:18:46.127,0,,2022-06-29 13:18:46.073,,
2022-06-29 13:19:48.340,0,,2022-06-29 13:19:47.980,,
2022-06-29 13:20:49.837,0,,2022-06-29 13:20:49.777,,
2022-06-29 13:21:51.687,0,,2022-06-29 13:21:51.590,,
2022-06-29 13:22:54.453,0,,2022-06-29 13:22:54.403,,
2022-06-29 13:23:56.213,0,,2022-06-29 13:23:56.137,,
2022-06-29 13:24:58.157,0,,2022-06-29 13:24:58.090,,
2022-06-29 13:26:00.720,0,,2022-06-29 13:25:59.997,,
2022-06-29 13:27:01.977,0,,2022-06-29 13:27:01.910,,
2022-06-29 13:28:05.660,0,,2022-06-29 13:28:05.613,,
2022-06-29 13:29:07.397,0,,2022-06-29 13:29:07.347,,
2022-06-29 13:30:09.220,0,,2022-06-29 13:30:09.177,,
2022-06-29 13:31:10.987,0,,2022-06-29 13:31:10.927,,
2022-06-29 13:32:12.810,0,,2022-06-29 13:32:12.753,,
2022-06-29 13:33:15.887,0,,2022-06-29 13:33:15.833,,
2022-06-29 13:34:17.667,0,,2022-06-29 13:34:17.597,,
2022-06-29 13:35:19.557,0,,2022-06-29 13:35:19.507,,
2022-06-29 13:36:21.477,0,,2022-06-29 13:36:21.397,,
2022-06-29 13:37:23.400,0,,2022-06-29 13:37:23.333,,
2022-06-29 13:38:25.260,0,,2022-06-29 13:38:25.210,,
2022-06-29 13:39:27.177,0,,2022-06-29 13:39:27.100,,
2022-06-29 13:40:29.260,0,,2022-06-29 13:40:29.210,,
2022-06-29 13:41:31.393,0,,2022-06-29 13:41:31.350,,
2022-06-29 13:42:33.250,0,,2022-06-29 13:42:33.197,,
2022-06-29 13:43:34.983,0,,2022-06-29 13:43:34.913,,
2022-06-29 13:44:36.807,0,,2022-06-29 13:44:36.757,,
2022-06-29 13:45:38.737,0,,2022-06-29 13:45:38.663,,
2022-06-29 13:46:40.593,0,,2022-06-29 13:46:40.523,,
2022-06-29 13:47:42.313,0,,2022-06-29 13:47:42.273,,
2022-06-29 13:48:44.883,0,,2022-06-29 13:48:44.023,,
2022-06-29 13:49:45.837,0,,2022-06-29 13:49:45.790,,
2022-06-29 13:50:47.840,0,,2022-06-29 13:50:47.773,,
2022-06-29 13:51:49.683,0,,2022-06-29 13:51:49.603,,
2022-06-29 13:52:51.607,0,,2022-06-29 13:52:51.523,,
2022-06-29 13:53:53.270,0,,2022-06-29 13:53:53.217,,
2022-06-29 13:54:55.277,0,,2022-06-29 13:54:55.217,,
2022-06-29 13:55:57.157,0,,2022-06-29 13:55:57.077,,
2022-06-29 13:56:58.940,0,,2022-06-29 13:56:58.887,,
2022-06-29 13:58:00.693,0,,2022-06-29 13:58:00.643,,
2022-06-29 13:59:02.397,0,,2022-06-29 13:59:02.330,,
2022-06-29 14:00:04.787,0,,2022-06-29 14:00:04.737,,
2022-06-29 14:01:06.597,0,,2022-06-29 14:01:06.550,,
2022-06-29 14:02:08.693,0,,2022-06-29 14:02:08.643,,
2022-06-29 14:03:10.707,0,,2022-06-29 14:03:10.660,,
2022-06-29 14:04:13.330,0,,2022-06-29 14:04:13.267,,
2022-06-29 14:05:15.870,0,,2022-06-29 14:05:15.817,,
2022-06-29 14:06:18.980,0,,2022-06-29 14:06:18.900,,
2022-06-29 14:07:24.923,0,,2022-06-29 14:07:24.870,,
2022-06-29 14:08:29.297,0,,2022-06-29 14:08:28.980,,
2022-06-29 14:09:31.347,0,,2022-06-29 14:09:31.167,,
2022-06-29 14:10:33.530,0,,2022-06-29 14:10:33.450,,
2022-06-29 14:11:35.273,0,,2022-06-29 14:11:35.217,,
2022-06-29 14:12:37.933,0,,2022-06-29 14:12:37.047,,
2022-06-29 14:13:40.727,0,,2022-06-29 14:13:40.683,,
2022-06-29 14:14:42.677,0,,2022-06-29 14:14:42.623,,
2022-06-29 14:15:44.710,0,,2022-06-29 14:15:44.663,,
2022-06-29 14:16:46.423,0,,2022-06-29 14:16:46.380,,
2022-06-29 14:17:48.350,0,,2022-06-29 14:17:48.300,,
2022-06-29 14:18:50.263,0,,2022-06-29 14:18:50.213,,
2022-06-29 14:19:52.353,0,,2022-06-29 14:19:52.293,,
2022-06-29 14:20:54.503,0,,2022-06-29 14:20:54.000,,
2022-06-29 14:21:55.860,0,,2022-06-29 14:21:55.820,,
2022-06-29 14:22:57.693,0,,2022-06-29 14:22:57.647,,
2022-06-29 14:23:59.553,0,,2022-06-29 14:23:59.503,,
2022-06-29 14:25:01.823,0,,2022-06-29 14:25:01.767,,
2022-06-29 14:26:03.737,0,,2022-06-29 14:26:03.690,,
2022-06-29 14:27:05.717,0,,2022-06-29 14:27:05.663,,
2022-06-29 14:28:08.487,0,,2022-06-29 14:28:08.433,,
2022-06-29 14:29:10.260,0,,2022-06-29 14:29:10.200,,
2022-06-29 14:30:11.983,0,,2022-06-29 14:30:11.927,,
2022-06-29 14:31:13.837,0,,2022-06-29 14:31:13.767,,
2022-06-29 14:32:15.587,0,,2022-06-29 14:32:15.527,,
2022-06-29 14:33:17.417,0,,2022-06-29 14:33:17.357,,
2022-06-29 14:34:19.180,0,,2022-06-29 14:34:19.130,,
2022-06-29 14:35:20.903,0,,2022-06-29 14:35:20.797,,
2022-06-29 14:36:22.620,0,,2022-06-29 14:36:22.567,,
2022-06-29 14:37:24.823,0,,2022-06-29 14:37:24.757,,
2022-06-29 14:38:26.573,0,,2022-06-29 14:38:26.517,,
2022-06-29 14:39:29.167,0,,2022-06-29 14:39:29.103,,
2022-06-29 14:40:32.483,0,,2022-06-29 14:40:32.433,,
