TIME_STAMP,BEARING_TEMP,BEARING_TEMP1,BEARING_TEMP2,BEARING_TEMP3,COOLER_STATUS,CURRENT,DEFL_PRESENT,FAN_ROTATION,LOCKED_TOOL,NAME,ROTATION_SPEED,ROTATION_SPEED_FS,S5_INPUT,SERIAL_NUMBER,STATOR_TEMP,STATOR_TEMP1,STATOR_TEMP2,TOOL,UNLOCKED_TOOL,OVERRIDE_AX,OVERRIDE_INV,STATUS,ASSI_MOT,ESEC_PGM,HOMING,HOMING_DONE,MACC_EME,MACC_ON,POWERED,SETUP,TOOL_CHANGE,WAIT_AC,WAIT_MC
2022-07-15 10:43:54.410252,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20B,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:44:10.855801,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20B,0,100,100,10,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:44:13.035996,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20B,0,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:44:19.332844,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,0,2022007264,25.0,100.0,125.0,NONE,1,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:44:21.504501,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,0,2022007264,25.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:44:23.660754,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:44:25.879511,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:44:54.514999,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:45:53.758645,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:46:14.267282,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:46:16.548538,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:46:18.786333,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:46:31.098794,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:46:33.271304,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:46:35.443185,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,0,2022007264,24.0,100.0,125.0,NONE,1,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:46:37.646323,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,FRESA20A,0,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:46:41.930327,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,FRESA20A,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:46:46.176282,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,FRESA20A,0,100,100,1000,1,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:46:52.441921,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,FRESA20A,0,100,100,1000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:46:54.644458,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,FRESA20A,0,100,100,10000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:47:47.676143,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20A,0,100,100,10000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:49:23.486782,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,0,2022007264,25.0,100.0,125.0,FRESA20A,1,100,100,10000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:51:42.397685,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20A,0,100,100,10000,0,0,0,1,1,1,0,1,0,0,0
2022-07-15 10:52:02.987505,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20A,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:54:23.709121,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20A,0,100,100,1000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:54:28.271572,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20A,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:54:42.912235,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20A,0,100,100,10,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:54:53.162255,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,0,2022007264,25.0,100.0,125.0,NONE,1,100,100,10,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:54:55.834139,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,1,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:54:58.787274,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:58:23.036249,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:59:41.958320,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:10:27.566484,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:12:03.727874,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:12:07.057917,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:12:13.761061,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:22:37.991824,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:24:08.620346,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:34:32.387558,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:35:48.200313,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:02.856477,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:08.403286,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:17.543850,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:22.589535,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:27.356693,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:32.532320,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:36:37.061195,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:46:42.625464,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:47:22.190702,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:49:13.587912,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:49:18.687022,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:58:57.227821,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 11:59:48.986832,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 12:01:27.032753,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 12:01:37.048356,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 12:01:43.225152,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 12:01:48.725159,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 12:01:53.553300,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
